ã¶íËédólî‘çÜ_é˘óvâ∆ÉRÅ[Éh,ã¶íËédólî‘çÜ_ïiéÌÉRÅ[Éh,ã¶íËédólî‘çÜ_ç|éÌÉRÅ[Éh,ã¶íËédólî‘çÜ_í≤éøÉRÅ[Éh,ã¶íËédólî‘çÜ_édè„ÉRÅ[Éh,ã¶íËédólî‘çÜ_åˆèÃî¬å˙,ã¶íËédólî‘çÜ_åˆèÃî¬ïù,ã¶íËédólî‘çÜ_òAî‘,ã¶íËédólî‘çÜ_â¸í˘î‘çÜ,ÉRÉCÉãî‘çÜ,ÉRÉCÉãï™äÑî‘çÜ,çÏã∆îNåéì˙éûï™,çHíˆÉRÅ[Éh_çÏã∆ÉRÅ[Éh,çHíˆÉRÅ[Éh_ÉâÉCÉìÉRÅ[Éh1,çHíˆÉRÅ[Éh_ÉâÉCÉìÉRÅ[Éh2,çHíˆÉRÅ[Éh_èàóùéÌï ,ëOñ èoÇµãÊï™,çÏã∆å„ÉRÉCÉãí∑Ç≥,îMèàóù_ë¨ìx,îMèàóù_í£óÕì¸ë§,îMèàóù_í£óÕíÜâõ,îMèàóù_í£óÕèoë§,îMèàóù_H2ó¨ó ,îMèàóù_òFâ∑1,îMèàóù_òFâ∑2,îMèàóù_òFâ∑3,îMèàóù_òFâ∑4,îMèàóù_òFâ∑5,îMèàóù_òFâ∑6,îMèàóù_òFâ∑7,îMèàóù_òFâ∑8,îMèàóù_òFâ∑9,îMèàóù_òFâ∑10,îMèàóù_òFâ∑11,îMèàóù_òFâ∑12,îMèàóù_òFâ∑13,îMèàóù_òFâ∑14,îMèàóù_òFâ∑15,îMèàóù_òFâ∑16
D250,S,600,34,MW,0300,4600,03,01,50969,22,202401101937,2,0,6,4,0,1519,52.5,9.98,2.02,39.03,58,657,655,657,655,655,656,648,656,509,404,300,302,207,187,91,17
D250,S,600,34,MW,0300,4600,03,01,50969,23,202401110201,2,0,6,4,0,1274,52.5,9.92,2.02,38.68,59,657,655,657,655,654,655,645,656,503,404,295,302,207,189,90,15
D250,S,600,34,MW,0300,4600,03,01,51256,1,202402071740,2,0,6,4,0,2562,52.5,10,2.02,37.3,60,656,655,657,654,654,655,646,656,510,404,293,301,201,189,86,14
D250,S,600,34,MW,0300,4600,03,01,51256,2,202402071944,2,0,6,4,0,2588,52.5,9.97,2.06,38.13,60,657,655,657,655,655,655,645,656,510,403,292,301,213,192,85,13
D250,S,600,34,MW,0300,4600,03,01,51256,3,202402072226,2,0,6,4,0,5560,52.5,9.93,2.02,38.1,60,657,655,657,655,654,655,645,656,509,404,293,301,206,190,86,13
D250,S,600,34,MW,0300,4600,03,01,51416,1,202402080148,2,0,6,4,0,5602,52.5,9.92,2.04,38.07,60,656,655,657,655,656,655,645,655,507,404,291,301,200,188,83,11
D250,S,600,34,MW,0300,4600,03,01,51416,2,202402080458,2,0,6,4,0,5667,52.5,9.98,2.04,38.19,60,657,655,657,655,654,655,647,656,508,403,291,301,209,193,81,12
D250,S,600,34,MW,0300,4600,03,01,51820,1,202402080847,2,0,6,4,0,5241,52.5,9.94,2.04,37.93,60,657,655,657,655,656,655,647,655,508,403,292,301,217,194,82,11
D250,S,600,34,MW,0300,4600,03,01,51821,1,202402081153,2,0,6,4,0,5242,52.5,9.93,2.04,37.99,60,658,655,657,655,655,655,644,656,507,404,292,302,207,191,83,12
D250,S,600,34,MW,0300,4600,03,01,51820,2,202402081454,2,0,6,4,0,5479,52.5,9.95,2.02,37.73,60,657,655,656,654,655,655,644,656,508,404,291,301,201,187,85,13
