Angle [deg],DRValue [um]
20.15,0.445
20.175,0.433
20.2,0.427
20.225,0.435
20.25,0.441
20.275,0.456
20.3,0.482
20.325,0.504
20.35,0.52
20.375,0.532
20.4,0.532
20.425,0.53
20.45,0.513
20.475,0.483
20.5,0.439
20.525,0.399
20.55,0.341
20.575,0.281
20.6,0.211
20.625,0.154
20.65,0.1
20.675,0.054
20.7,0.008
20.725,-0.018
20.75,-0.03
20.775,-0.042
20.8,-0.046
20.825,-0.047
20.85,-0.037
20.875,-0.033
20.9,-0.025
20.925,-0.017
20.95,-0.015
20.975,-0.007
21,-0.006
21.025,0
21.05,0
21.075,-0.006
21.1,-0.014
21.125,-0.01
21.15,-0.018
21.175,-0.031
21.2,-0.045
21.225,-0.065
21.25,-0.083
21.275,-0.107
21.3,-0.143
21.325,-0.167
21.35,-0.199
21.375,-0.222
21.4,-0.254
21.425,-0.276
21.45,-0.3
21.475,-0.316
21.5,-0.328
21.525,-0.334
21.55,-0.331
21.575,-0.319
21.6,-0.303
21.625,-0.277
21.65,-0.253
21.675,-0.209
21.7,-0.155
21.725,-0.107
21.75,-0.042
21.775,0.024
21.8,0.1
21.825,0.172
21.85,0.25
21.875,0.334
21.9,0.4
21.925,0.465
21.95,0.505
21.975,0.549
22,0.581
22.025,0.599
22.05,0.597
22.075,0.587
22.1,0.569
22.125,0.548
22.15,0.52
22.175,0.486
22.2,0.456
22.225,0.43
22.25,0.412
22.275,0.398
22.3,0.385
22.325,0.381
22.35,0.389
22.375,0.399
22.4,0.403
22.425,0.409
22.45,0.415
22.475,0.419
22.5,0.416
22.525,0.404
22.55,0.386
22.575,0.368
22.6,0.336
22.625,0.308
22.65,0.272
22.675,0.228
22.7,0.191
22.725,0.149
22.75,0.113
22.775,0.075
22.8,0.039
22.825,0.003
22.85,-0.017
22.875,-0.054
22.9,-0.082
22.925,-0.11
22.95,-0.14
22.975,-0.174
23,-0.202
23.025,-0.242
23.05,-0.27
23.075,-0.305
23.1,-0.347
23.125,-0.379
23.15,-0.407
23.175,-0.437
23.2,-0.453
23.225,-0.479
23.25,-0.493
23.275,-0.51
23.3,-0.53
23.325,-0.552
23.35,-0.58
23.375,-0.602
23.4,-0.638
23.425,-0.676
23.45,-0.706
23.475,-0.741
23.5,-0.785
23.525,-0.823
23.55,-0.851
23.575,-0.875
23.6,-0.891
23.625,-0.911
23.65,-0.909
23.675,-0.918
23.7,-0.918
23.725,-0.918
23.75,-0.91
23.775,-0.916
23.8,-0.916
23.825,-0.916
23.85,-0.905
23.875,-0.905
23.9,-0.897
23.925,-0.887
23.95,-0.877
23.975,-0.867
24,-0.853
24.025,-0.841
24.05,-0.83
24.075,-0.814
24.1,-0.8
24.125,-0.792
24.15,-0.786
24.175,-0.768
24.2,-0.754
24.225,-0.73
24.25,-0.699
24.275,-0.663
24.3,-0.615
24.325,-0.559
24.35,-0.497
24.375,-0.435
24.4,-0.363
24.425,-0.301
24.45,-0.238
24.475,-0.164
24.5,-0.094
24.525,-0.038
24.55,0.02
24.575,0.084
24.6,0.144
24.625,0.198
24.65,0.245
24.675,0.299
24.7,0.337
24.725,0.377
24.75,0.403
24.775,0.425
24.8,0.441
24.825,0.449
24.85,0.442
24.875,0.436
24.9,0.414
24.925,0.384
24.95,0.358
24.975,0.324
25,0.274
25.025,0.246
25.05,0.214
25.075,0.177
25.1,0.145
25.125,0.129
25.15,0.107
25.175,0.097
25.2,0.089
25.225,0.083
25.25,0.089
25.275,0.098
25.3,0.104
25.325,0.114
25.35,0.126
25.375,0.126
25.4,0.132
25.425,0.14
25.45,0.142
25.475,0.137
25.5,0.127
25.525,0.105
25.55,0.081
25.575,0.045
25.6,0.007
25.625,-0.039
25.65,-0.091
25.675,-0.15
25.7,-0.212
25.725,-0.26
25.75,-0.318
25.775,-0.374
25.8,-0.418
25.825,-0.448
25.85,-0.468
25.875,-0.483
25.9,-0.483
25.925,-0.471
25.95,-0.453
25.975,-0.425
26,-0.391
26.025,-0.353
26.05,-0.325
26.075,-0.285
26.1,-0.24
26.125,-0.218
26.15,-0.182
26.175,-0.15
26.2,-0.122
26.225,-0.094
26.25,-0.082
26.275,-0.064
26.3,-0.053
26.325,-0.055
26.35,-0.061
26.375,-0.065
26.4,-0.071
26.425,-0.081
26.45,-0.089
26.475,-0.089
26.5,-0.091
26.525,-0.086
26.55,-0.078
26.575,-0.07
26.6,-0.052
26.625,-0.04
26.65,-0.024
26.675,-0.012
26.7,0.004
26.725,0.031
26.75,0.051
26.775,0.083
26.8,0.117
26.825,0.157
26.85,0.211
26.875,0.283
26.9,0.369
26.925,0.445
26.95,0.536
26.975,0.644
27,0.754
27.025,0.848
27.05,0.934
27.075,1.016
27.1,1.08
27.125,1.124
27.15,1.153
27.175,1.167
27.2,1.165
27.225,1.155
27.25,1.125
27.275,1.091
27.3,1.037
27.325,0.995
27.35,0.935
27.375,0.876
27.4,0.792
27.425,0.718
27.45,0.636
27.475,0.548
27.5,0.46
27.525,0.374
27.55,0.298
27.575,0.223
27.6,0.157
27.625,0.111
27.65,0.077
27.675,0.057
27.7,0.047
27.725,0.057
27.75,0.069
27.775,0.101
27.8,0.13
27.825,0.16
27.85,0.182
27.875,0.2
27.9,0.206
27.925,0.208
27.95,0.196
27.975,0.168
28,0.14
28.025,0.099
28.05,0.057
28.075,-0.001
28.1,-0.053
28.125,-0.099
28.15,-0.153
28.175,-0.201
28.2,-0.249
28.225,-0.293
28.25,-0.326
28.275,-0.368
28.3,-0.398
28.325,-0.432
28.35,-0.46
28.375,-0.48
28.4,-0.496
28.425,-0.506
28.45,-0.51
28.475,-0.507
28.5,-0.509
28.525,-0.499
28.55,-0.489
28.575,-0.479
28.6,-0.461
28.625,-0.445
28.65,-0.431
28.675,-0.421
28.7,-0.41
28.725,-0.406
28.75,-0.414
28.775,-0.422
28.8,-0.444
28.825,-0.468
28.85,-0.496
28.875,-0.526
28.9,-0.57
28.925,-0.599
28.95,-0.643
28.975,-0.679
29,-0.709
29.025,-0.729
29.05,-0.741
29.075,-0.745
29.1,-0.735
29.125,-0.713
29.15,-0.68
29.175,-0.636
29.2,-0.59
29.225,-0.54
29.25,-0.488
29.275,-0.438
29.3,-0.376
29.325,-0.336
29.35,-0.286
29.375,-0.239
29.4,-0.189
29.425,-0.151
29.45,-0.103
29.475,-0.053
29.5,-0.005
29.525,0.049
29.55,0.101
29.575,0.157
29.6,0.214
29.625,0.26
29.65,0.302
29.675,0.348
29.7,0.378
29.725,0.402
29.75,0.414
29.775,0.42
29.8,0.41
29.825,0.387
29.85,0.357
29.875,0.311
29.9,0.263
29.925,0.207
29.95,0.159
29.975,0.095
30,0.043
30.025,-0.005
30.05,-0.045
30.075,-0.082
30.1,-0.116
30.125,-0.142
30.15,-0.158
30.175,-0.174
30.2,-0.194
30.225,-0.208
30.25,-0.226
30.275,-0.238
30.3,-0.247
30.325,-0.267
30.35,-0.285
30.375,-0.305
30.4,-0.333
30.425,-0.357
30.45,-0.387
30.475,-0.415
30.5,-0.451
30.525,-0.487
30.55,-0.518
30.575,-0.554
30.6,-0.598
30.625,-0.638
30.65,-0.674
30.675,-0.72
30.7,-0.762
30.725,-0.808
30.75,-0.85
30.775,-0.889
30.8,-0.933
30.825,-0.967
30.85,-1.003
30.875,-1.037
30.9,-1.059
30.925,-1.077
30.95,-1.089
30.975,-1.097
31,-1.087
31.025,-1.068
31.05,-1.038
31.075,-0.994
31.1,-0.948
31.125,-0.888
31.15,-0.826
31.175,-0.758
31.2,-0.7
31.225,-0.648
31.25,-0.61
31.275,-0.585
31.3,-0.581
31.325,-0.597
31.35,-0.633
31.375,-0.689
31.4,-0.757
31.425,-0.833
31.45,-0.915
31.475,-0.993
31.5,-1.066
31.525,-1.128
31.55,-1.158
31.575,-1.174
31.6,-1.17
31.625,-1.132
31.65,-1.1
31.675,-1.02
31.7,-0.94
31.725,-0.862
31.75,-0.765
31.775,-0.661
31.8,-0.551
31.825,-0.459
31.85,-0.363
31.875,-0.267
31.9,-0.177
31.925,-0.085
31.95,-0.009
31.975,0.073
32,0.144
32.025,0.214
32.05,0.28
32.075,0.354
32.1,0.416
32.125,0.468
32.15,0.516
32.175,0.566
32.2,0.602
32.225,0.62
32.25,0.641
32.275,0.645
32.3,0.637
32.325,0.617
32.35,0.589
32.375,0.555
32.4,0.525
32.425,0.483
32.45,0.459
32.475,0.431
32.5,0.414
32.525,0.4
32.55,0.398
32.575,0.406
32.6,0.426
32.625,0.45
32.65,0.474
32.675,0.502
32.7,0.528
32.725,0.54
32.75,0.546
32.775,0.541
32.8,0.521
32.825,0.483
32.85,0.435
32.875,0.379
32.9,0.303
32.925,0.245
32.95,0.189
32.975,0.125
33,0.069
33.025,0.026
33.05,-0.006
33.075,-0.024
33.1,-0.048
33.125,-0.05
33.15,-0.052
33.175,-0.056
33.2,-0.068
33.225,-0.078
33.25,-0.094
33.275,-0.125
33.3,-0.159
33.325,-0.191
33.35,-0.237
33.375,-0.285
33.4,-0.327
33.425,-0.359
33.45,-0.385
33.475,-0.401
33.5,-0.397
33.525,-0.377
33.55,-0.346
33.575,-0.302
33.6,-0.252
33.625,-0.204
33.65,-0.15
33.675,-0.104
33.7,-0.06
33.725,-0.032
33.75,-0.012
33.775,-0.008
33.8,-0.019
33.825,-0.039
33.85,-0.067
33.875,-0.103
33.9,-0.141
33.925,-0.177
33.95,-0.215
33.975,-0.241
34,-0.259
34.025,-0.261
34.05,-0.259
34.075,-0.24
34.1,-0.194
34.125,-0.15
34.15,-0.092
34.175,-0.024
34.2,0.068
34.225,0.152
34.25,0.242
34.275,0.336
34.3,0.424
34.325,0.512
34.35,0.581
34.375,0.645
34.4,0.701
34.425,0.737
34.45,0.771
34.475,0.789
34.5,0.803
34.525,0.805
34.55,0.805
34.575,0.797
34.6,0.779
34.625,0.766
34.65,0.75
34.675,0.722
34.7,0.698
34.725,0.678
34.75,0.654
34.775,0.628
34.8,0.608
34.825,0.584
34.85,0.574
34.875,0.552
34.9,0.543
34.925,0.531
34.95,0.517
34.975,0.503
35,0.489
35.025,0.471
35.05,0.453
35.075,0.421
35.1,0.381
35.125,0.337
35.15,0.283
35.175,0.226
35.2,0.164
35.225,0.102
35.25,0.05
35.275,-0.004
35.3,-0.052
35.325,-0.086
35.35,-0.122
35.375,-0.146
35.4,-0.166
35.425,-0.188
35.45,-0.207
35.475,-0.235
35.5,-0.271
35.525,-0.313
35.55,-0.365
35.575,-0.431
35.6,-0.505
35.625,-0.575
35.65,-0.653
35.675,-0.731
35.7,-0.803
35.725,-0.851
35.75,-0.896
35.775,-0.938
35.8,-0.964
35.825,-0.98
35.85,-0.984
35.875,-0.982
35.9,-0.974
35.925,-0.962
35.95,-0.946
35.975,-0.926
36,-0.908
36.025,-0.873
36.05,-0.845
36.075,-0.811
36.1,-0.773
36.125,-0.741
36.15,-0.709
36.175,-0.673
36.2,-0.639
36.225,-0.623
36.25,-0.617
36.275,-0.627
36.3,-0.645
36.325,-0.678
36.35,-0.72
36.375,-0.774
36.4,-0.832
36.425,-0.886
36.45,-0.934
36.475,-0.982
36.5,-1.018
36.525,-1.038
36.55,-1.034
36.575,-1.024
36.6,-0.98
36.625,-0.941
36.65,-0.875
