Angle,DRValue,,,é¸îgêî [mm^-1],é¸ä˙ [mm],DRValue [um]_amp
5.175,0.252,,208,0.577817904,1.730649038,0.005141231
5.2,0.286,,209,0.580595875,1.722368421,0.003572841
5.225,0.334,,210,0.583373845,1.714166667,0.002946959
5.25,0.373,,211,0.586151816,1.706042654,0.008068777
5.275,0.413,,212,0.588929787,1.697995283,0.004228217
5.3,0.455,,213,0.591707757,1.690023474,0.005015944
5.325,0.481,,214,0.594485728,1.682126168,0.004507626
5.35,0.503,,215,0.597263699,1.674302326,0.006660187
5.375,0.519,,216,0.60004167,1.666550926,0.004150764
5.4,0.52,,217,0.60281964,1.658870968,0.006571918
5.425,0.506,,218,0.605597611,1.651261468,0.004218126
5.45,0.488,,219,0.608375582,1.643721461,0.005014248
5.475,0.45,,220,0.611153552,1.63625,0.00968116
5.5,0.404,,221,0.613931523,1.628846154,0.003377178
5.525,0.347,,222,0.616709494,1.621509009,0.00824134
5.55,0.291,,223,0.619487464,1.614237668,0.009023718
5.575,0.221,,224,0.622265435,1.60703125,0.006063723
5.6,0.153,,225,0.625043406,1.599888889,0.002062247
5.625,0.085,,226,0.627821376,1.592809735,0.002738256
5.65,0.019,,227,0.630599347,1.585792952,0.012765946
5.675,-0.048,,228,0.633377318,1.578837719,0.003217272
5.7,-0.112,,229,0.636155289,1.571943231,0.000303899
5.725,-0.16,,230,0.638933259,1.565108696,0.013226282
5.75,-0.198,,231,0.64171123,1.558333333,0.010933379
5.775,-0.242,,232,0.644489201,1.551616379,0.003422263
5.8,-0.28,,233,0.647267171,1.544957082,0.001958696
5.825,-0.297,,234,0.650045142,1.538354701,0.016794223
5.85,-0.313,,235,0.652823113,1.531808511,0.013887343
5.875,-0.321,,236,0.655601083,1.525317797,0.006352477
5.9,-0.315,,237,0.658379054,1.518881857,0.006225249
5.925,-0.307,,238,0.661157025,1.5125,0.004263425
5.95,-0.288,,239,0.663934995,1.506171548,0.016355662
5.975,-0.268,,240,0.666712966,1.499895833,0.005078813
6,-0.25,,241,0.669490937,1.493672199,0.004504994
6.025,-0.228,,242,0.672268908,1.4875,0.010054313
6.05,-0.21,,243,0.675046878,1.481378601,0.007729183
6.075,-0.194,,244,0.677824849,1.475307377,0.003156079
6.1,-0.171,,245,0.68060282,1.469285714,0.006000785
6.125,-0.161,,246,0.68338079,1.463313008,0.000565549
6.15,-0.151,,247,0.686158761,1.457388664,0.000481883
6.175,-0.143,,248,0.688936732,1.451512097,0.005404827
6.2,-0.141,,249,0.691714702,1.445682731,0.003426113
6.225,-0.143,,250,0.694492673,1.4399,0.004120348
6.25,-0.14,,251,0.697270644,1.434163347,0.009456721
6.275,-0.15,,252,0.700048614,1.428472222,0.006901269
6.3,-0.152,,253,0.702826585,1.422826087,0.002525403
